"rho","velocity:0","velocity:1","velocity:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1,0.0011061,-8.8655e-15,0,1,8.811,49.5,8.811,0
1,0.0011182,-8.9685e-15,0,1,8.91,49.5,8.91,0
1,0.0011302,-9.0742e-15,0,1,9.009,49.5,9.009,0
1,0.0011419,-9.2061e-15,0,1,9.108,49.5,9.108,0
1,0.0011537,-9.338e-15,0,1,9.207,49.5,9.207,0
1,0.0011654,-9.4699e-15,0,1,9.306,49.5,9.306,0
1,0.0011772,-9.6018e-15,0,1,9.405,49.5,9.405,0
1,0.0011889,-9.7337e-15,0,1,9.504,49.5,9.504,0
1,0.0012007,-9.8656e-15,0,1,9.603,49.5,9.603,0
1,0.0012124,-9.9974e-15,0,1,9.702,49.5,9.702,0
1,0.0012242,-1.0129e-14,0,1,9.801,49.5,9.801,0
1,0.0012359,-1.0261e-14,0,1,9.9,49.5,9.9,0
1,0.0012477,-1.0393e-14,0,1,9.999,49.5,9.999,0
1,0.0012591,-1.0471e-14,0,1,10.098,49.5,10.098,0
1,0.0012706,-1.0548e-14,0,1,10.197,49.5,10.197,0
1,0.001282,-1.0625e-14,0,1,10.296,49.5,10.296,0
1,0.0012935,-1.0701e-14,0,1,10.395,49.5,10.395,0
1,0.0013049,-1.0778e-14,0,1,10.494,49.5,10.494,0
1,0.0013164,-1.0855e-14,0,1,10.593,49.5,10.593,0
1,0.0013279,-1.0932e-14,0,1,10.692,49.5,10.692,0
1,0.0013393,-1.1009e-14,0,1,10.791,49.5,10.791,0
1,0.0013508,-1.1086e-14,0,1,10.89,49.5,10.89,0
1,0.0013622,-1.1163e-14,0,1,10.989,49.5,10.989,0
1,0.0013734,-1.1247e-14,0,1,11.088,49.5,11.088,0
1,0.0013846,-1.1333e-14,0,1,11.187,49.5,11.187,0
1,0.0013957,-1.1418e-14,0,1,11.286,49.5,11.286,0
1,0.0014069,-1.1503e-14,0,1,11.385,49.5,11.385,0
1,0.001418,-1.1588e-14,0,1,11.484,49.5,11.484,0
1,0.0014292,-1.1673e-14,0,1,11.583,49.5,11.583,0
1,0.0014403,-1.1758e-14,0,1,11.682,49.5,11.682,0
1,0.0014515,-1.1844e-14,0,1,11.781,49.5,11.781,0
1,0.0014627,-1.1929e-14,0,1,11.88,49.5,11.88,0
1,0.0014738,-1.2014e-14,0,1,11.979,49.5,11.979,0
1,0.0014847,-1.2113e-14,0,1,12.078,49.5,12.078,0
1,0.0014956,-1.2216e-14,0,1,12.177,49.5,12.177,0
1,0.0015065,-1.2319e-14,0,1,12.276,49.5,12.276,0
1,0.0015173,-1.2422e-14,0,1,12.375,49.5,12.375,0
1,0.0015282,-1.2525e-14,0,1,12.474,49.5,12.474,0
1,0.0015391,-1.2628e-14,0,1,12.573,49.5,12.573,0
1,0.0015499,-1.2731e-14,0,1,12.672,49.5,12.672,0
1,0.0015608,-1.2835e-14,0,1,12.771,49.5,12.771,0
1,0.0015716,-1.2938e-14,0,1,12.87,49.5,12.87,0
1,0.0015825,-1.3041e-14,0,1,12.969,49.5,12.969,0
1,0.0015932,-1.3144e-14,0,1,13.068,49.5,13.068,0
1,0.0016037,-1.3247e-14,0,1,13.167,49.5,13.167,0
1,0.0016143,-1.335e-14,0,1,13.266,49.5,13.266,0
1,0.0016249,-1.3453e-14,0,1,13.365,49.5,13.365,0
1,0.0016354,-1.3556e-14,0,1,13.464,49.5,13.464,0
1,0.001646,-1.3659e-14,0,1,13.563,49.5,13.563,0
1,0.0016566,-1.3762e-14,0,1,13.662,49.5,13.662,0
1,0.0016671,-1.3865e-14,0,1,13.761,49.5,13.761,0
1,0.0016777,-1.3968e-14,0,1,13.86,49.5,13.86,0
1,0.0016883,-1.4071e-14,0,1,13.959,49.5,13.959,0
1,0.0016986,-1.413e-14,0,1,14.058,49.5,14.058,0
1,0.0017089,-1.4157e-14,0,1,14.157,49.5,14.157,0
1,0.0017192,-1.4185e-14,0,1,14.256,49.5,14.256,0
1,0.0017295,-1.4212e-14,0,1,14.355,49.5,14.355,0
1,0.0017397,-1.424e-14,0,1,14.454,49.5,14.454,0
1,0.00175,-1.4267e-14,0,1,14.553,49.5,14.553,0
1,0.0017603,-1.4295e-14,0,1,14.652,49.5,14.652,0
1,0.0017705,-1.4322e-14,0,1,14.751,49.5,14.751,0
1,0.0017808,-1.435e-14,0,1,14.85,49.5,14.85,0
1,0.0017911,-1.4377e-14,0,1,14.949,49.5,14.949,0
1,0.0018012,-1.4431e-14,0,1,15.048,49.5,15.048,0
1,0.0018112,-1.4512e-14,0,1,15.147,49.5,15.147,0
1,0.0018212,-1.4593e-14,0,1,15.246,49.5,15.246,0
1,0.0018311,-1.4674e-14,0,1,15.345,49.5,15.345,0
1,0.0018411,-1.4755e-14,0,1,15.444,49.5,15.444,0
